item_id,category_id,item_name,category_name,price,expiration_date,arrival_date,is_organic,is_discount_target,is_ready_to_eat,is_premium
1001,100,トマト,野菜・果物,188,2026-04-02,2025-12-28,False,True,False,False
1002,100,有機きゅうり,野菜・果物,350,2026-07-03,2025-12-11,True,False,False,False
1003,100,ほうれん草,野菜・果物,191,2026-07-10,2025-11-25,False,False,False,False
1004,100,キャベツ,野菜・果物,156,2026-07-15,2026-01-07,False,False,False,False
1005,100,大根,野菜・果物,159,2026-05-31,2025-12-02,False,False,False,False
1006,100,カット野菜ミックス,野菜・果物,161,2026-04-20,2025-12-19,False,False,True,False
1007,100,有機りんご,野菜・果物,371,2026-03-01,2025-11-24,True,False,False,True
1008,100,みかん,野菜・果物,414,2026-03-21,2026-01-18,True,False,False,True
1009,100,バナナ,野菜・果物,202,2026-04-08,2025-12-12,True,True,False,False
1010,100,玉ねぎ,野菜・果物,117,2026-07-22,2026-01-13,False,True,False,False
1011,200,国産鶏もも肉,肉類,604,2026-05-21,2025-12-13,False,False,False,True
1012,200,豚バラ肉,肉類,571,2026-03-25,2025-12-06,False,True,False,False
1013,200,黒毛和牛肩ロース,肉類,2933,2026-06-02,2025-11-25,False,False,False,True
1014,200,合挽き肉,肉類,401,2026-06-05,2025-12-17,False,True,False,False
1015,200,銘柄豚ロース,肉類,933,2026-05-19,2025-12-30,False,True,False,False
1016,200,鶏むね肉,肉類,265,2026-07-01,2026-01-07,True,False,False,False
1017,200,牛ひき肉,肉類,736,2026-02-12,2026-01-17,False,True,False,False
1018,200,ササミ,肉類,398,2026-04-13,2026-01-05,False,True,False,False
1019,300,天然鮭切り身,魚介類,563,2026-06-13,2025-12-17,False,False,False,True
1020,300,本マグロ刺身,魚介類,911,2026-04-28,2026-01-22,True,False,False,True
1021,300,アサリ,魚介類,355,2026-02-04,2025-12-27,True,False,False,False
1022,300,エビ,魚介類,681,2026-04-30,2026-01-09,False,False,False,True
1023,300,イカ,魚介類,730,2026-05-12,2026-01-09,True,True,False,False
1024,300,サバ,魚介類,336,2026-04-27,2025-12-27,False,False,False,False
1025,300,北海道産ホタテ,魚介類,1428,2026-04-19,2026-01-04,False,False,False,True
1026,300,タコ,魚介類,716,2026-04-16,2026-01-02,True,False,False,False
1027,400,有機牛乳,乳製品,367,2026-03-18,2025-12-03,True,False,False,True
1028,400,プレミアムチーズ,乳製品,544,2026-03-14,2025-11-27,True,False,False,True
1029,400,バター,乳製品,434,2026-02-18,2025-12-12,True,False,False,True
1030,400,無添加ヨーグルト,乳製品,259,2026-03-29,2026-01-04,True,False,False,True
1031,400,生クリーム,乳製品,430,2026-05-22,2025-12-07,False,False,False,False
1032,500,天然酵母食パン,パン・ベーカリー,341,2026-05-23,2026-01-21,True,True,True,False
1033,500,クロワッサン,パン・ベーカリー,226,2026-02-21,2025-12-28,False,False,True,True
1034,500,ロールパン,パン・ベーカリー,247,2026-05-24,2025-12-04,False,True,True,True
1035,500,フランスパン,パン・ベーカリー,248,2026-06-08,2025-12-15,True,True,True,False
1036,500,全粒粉ベーグル,パン・ベーカリー,347,2026-04-19,2026-01-05,True,False,True,True
1037,600,ポテトチップス,お菓子・スナック,295,2026-02-27,2025-11-27,False,True,False,False
1038,600,クッキー,お菓子・スナック,292,2026-03-13,2025-12-15,False,False,False,True
1039,600,チョコレート,お菓子・スナック,305,2026-06-07,2025-12-02,False,False,False,False
1040,600,キャンディー,お菓子・スナック,174,2026-07-03,2025-11-27,False,True,False,False
1041,600,グミ,お菓子・スナック,215,2026-06-08,2026-01-13,False,False,False,False
1042,700,冷凍餃子,冷凍食品,346,2026-05-29,2026-01-20,False,True,True,True
1043,700,冷凍ピザ,冷凍食品,594,2026-06-11,2025-12-10,False,False,True,False
1044,700,冷凍野菜ミックス,冷凍食品,389,2026-02-15,2025-11-27,False,True,True,True
1045,700,プレミアム冷凍チャーハン,冷凍食品,484,2026-06-30,2026-01-15,True,False,True,True
1046,700,冷凍うどん,冷凍食品,251,2026-05-09,2025-12-03,True,False,True,False
1047,800,ミネラルウォーター,飲料,130,2026-04-21,2025-12-05,False,False,False,False
1048,800,有機コーヒー,飲料,460,2026-02-15,2026-01-10,True,False,False,True
1049,800,紅茶,飲料,384,2026-05-24,2026-01-11,True,True,False,True
1050,800,オレンジジュース,飲料,283,2026-02-16,2026-01-13,True,False,False,True
