store_id,store_name,store_area,address,postal_code,prefecture,city,phone_number,email,business_hours,closed_days,manager_id,opening_date,status
1,港区店,関東,東京都港区1-20-3,981-6052,東京都,港区,03-5281-6828,store1@example.com,10:00-21:00,なし,282,2020-02-12,ACTIVE
2,川崎市店,関東,神奈川県川崎市1-17-6,859-1740,神奈川県,川崎市,03-4580-8169,store2@example.com,10:00-21:00,なし,317,2020-06-06,ACTIVE
3,大阪市店,関西,大阪府大阪市1-5-1,977-8481,大阪府,大阪市,03-2249-1659,store3@example.com,10:00-21:00,火曜日,333,2020-03-25,INACTIVE
4,名古屋市店,中部,愛知県名古屋市1-18-8,643-6301,愛知県,名古屋市,03-9334-2877,store4@example.com,10:00-21:00,なし,707,2020-12-17,ACTIVE
5,札幌市店,北海道,北海道札幌市1-16-6,522-8861,北海道,札幌市,03-9054-2973,store5@example.com,10:00-21:00,水曜日,617,2020-10-20,ACTIVE
6,品川区店,関東,東京都品川区1-9-3,346-7126,東京都,品川区,03-3498-8544,store6@example.com,10:00-21:00,水曜日,768,2020-08-26,ACTIVE
7,横浜市店,関東,神奈川県横浜市1-4-2,937-3736,神奈川県,横浜市,03-7985-1712,store7@example.com,10:00-21:00,なし,846,2020-05-13,ACTIVE
8,堺市店,関西,大阪府堺市1-7-10,394-8160,大阪府,堺市,03-2563-5663,store8@example.com,10:00-21:00,水曜日,373,2020-06-22,ACTIVE
9,名古屋市店,中部,愛知県名古屋市1-11-1,915-7185,愛知県,名古屋市,03-9969-1387,store9@example.com,10:00-21:00,水曜日,648,2020-06-19,ACTIVE
10,札幌市店,北海道,北海道札幌市1-7-7,518-4568,北海道,札幌市,03-3730-3951,store10@example.com,10:00-21:00,水曜日,588,2020-03-06,ACTIVE
